# Image with: 7.1e21 meters, image height: 7.2e20 meters.
4207
1.0000e31  -2.8330e21  -4.7005e17  8.5116e4  1.3393e6  # galaxy 1, star 235
1.0000e31  -2.8326e21  -9.9675e17  1.6483e5  1.2915e6  # galaxy 1, star 236
1.0000e31  -2.8322e21  -1.5831e18  2.3906e5  1.2404e6  # galaxy 1, star 237
1.0000e31  -2.8318e21  -2.2319e18  3.0780e5  1.1863e6  # galaxy 1, star 238
1.0000e31  -2.8314e21  -2.9460e18  3.7102e5  1.1297e6  # galaxy 1, star 239
1.0000e31  -2.8311e21  -3.7279e18  4.2875e5  1.0710e6  # galaxy 1, star 240
1.0000e31  -2.8308e21  -4.5799e18  4.8103e5  1.0106e6  # galaxy 1, star 241
1.0000e31  -2.8305e21  -5.5042e18  5.2794e5  9.4887e5  # galaxy 1, star 242
1.0000e31  -2.8303e21  -6.5024e18  5.6956e5  8.8624e5  # galaxy 1, star 243
1.0000e31  -2.8301e21  -7.5759e18  6.0600e5  8.2305e5  # galaxy 1, star 244
1.0000e31  -2.8300e21  -8.7256e18  6.3740e5  7.5962e5  # galaxy 1, star 245
1.0000e31  -2.8300e21  -9.9520e18  6.6390e5  6.9627e5  # galaxy 1, star 246
1.0000e31  -2.8300e21  -1.1255e19  6.8566e5  6.3331e5  # galaxy 1, star 247
1.0000e31  -2.8301e21  -1.2633e19  7.0285e5  5.7100e5  # galaxy 1, star 248
1.0000e31  -2.8304e21  -1.4086e19  7.1566e5  5.0962e5  # galaxy 1, star 249
1.0000e31  -2.8307e21  -1.5611e19  7.2429e5  4.4940e5  # galaxy 1, star 250
1.0000e31  -2.8312e21  -1.7204e19  7.2894e5  3.9056e5  # galaxy 1, star 251
1.0000e31  -2.8318e21  -1.8862e19  7.2982e5  3.3330e5  # galaxy 1, star 252
1.0000e31  -2.8325e21  -2.0578e19  7.2715e5  2.7780e5  # galaxy 1, star 253
1.0000e31  -2.8335e21  -2.2348e19  7.2115e5  2.2424e5  # galaxy 1, star 254
1.0000e31  -2.8345e21  -2.4163e19  7.1205e5  1.7274e5  # galaxy 1, star 255
1.0000e31  -2.8358e21  -2.6013e19  7.0006e5  1.2344e5  # galaxy 1, star 256
1.0000e31  -2.8373e21  -2.7890e19  6.8542e5  7.6442e4  # galaxy 1, star 257
1.0000e31  -2.8390e21  -2.9780e19  6.6836e5  3.1838e4  # galaxy 1, star 258
1.0000e31  -2.8409e21  -3.1670e19  6.4909e5  -1.0300e4  # galaxy 1, star 259
1.0000e31  -2.8431e21  -3.3544e19  6.2784e5  -4.9913e4  # galaxy 1, star 260
1.0000e31  -2.8455e21  -3.5385e19  6.0483e5  -8.6961e4  # galaxy 1, star 261
1.0000e31  -2.8482e21  -3.7174e19  5.8027e5  -1.2142e5  # galaxy 1, star 262
1.0000e31  -2.8512e21  -3.8890e19  5.5437e5  -1.5327e5  # galaxy 1, star 263
1.0000e31  -2.8544e21  -4.0509e19  5.2733e5  -1.8251e5  # galaxy 1, star 264
1.0000e31  -2.8580e21  -4.2004e19  4.9935e5  -2.0916e5  # galaxy 1, star 265
1.0000e31  -2.8619e21  -4.3350e19  4.7062e5  -2.3325e5  # galaxy 1, star 266
1.0000e31  -2.8661e21  -4.4514e19  4.4132e5  -2.5480e5  # galaxy 1, star 267
1.0000e31  -2.8706e21  -4.5464e19  4.1163e5  -2.7386e5  # galaxy 1, star 268
1.0000e31  -2.8755e21  -4.6165e19  3.8170e5  -2.9049e5  # galaxy 1, star 269
1.0000e31  -2.8808e21  -4.6579e19  3.5170e5  -3.0475e5  # galaxy 1, star 270
1.0000e31  -2.8863e21  -4.6666e19  3.2178e5  -3.1672e5  # galaxy 1, star 271
1.0000e31  -2.8922e21  -4.6383e19  2.9207e5  -3.2646e5  # galaxy 1, star 272
1.0000e31  -2.8985e21  -4.5684e19  2.6271e5  -3.3406e5  # galaxy 1, star 273
1.0000e31  -2.9051e21  -4.4522e19  2.3381e5  -3.3962e5  # galaxy 1, star 274
1.0000e31  -2.9120e21  -4.2847e19  2.0549e5  -3.4322e5  # galaxy 1, star 275
1.0000e31  -2.9192e21  -4.0607e19  1.7784e5  -3.4496e5  # galaxy 1, star 276
1.0000e31  -2.9266e21  -3.7746e19  1.5097e5  -3.4495e5  # galaxy 1, star 277
1.0000e31  -2.9344e21  -3.4209e19  1.2494e5  -3.4328e5  # galaxy 1, star 278
1.0000e31  -2.9424e21  -2.9937e19  9.9853e4  -3.4007e5  # galaxy 1, star 279
